timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
17300;1050.0;284.0;766.0
17400;595.0;285.0;310.0
17500;1051.0;285.0;766.0
17600;1088.0;284.0;804.0
17700;1088.0;284.0;804.0
17800;1091.0;287.0;804.0
17900;1089.0;285.0;804.0
18000;1087.0;283.0;804.0
18100;1089.0;285.0;804.0
18200;1089.0;285.0;804.0
18300;1089.0;285.0;804.0
18400;1089.0;285.0;804.0
18500;1181.0;339.0;842.0
18600;1225.0;345.0;880.0
18700;1085.0;357.0;728.0
18800;1111.0;345.0;766.0
18900;1353.0;359.0;994.0
19000;1231.0;351.0;880.0
19100;1225.0;345.0;880.0
19200;1109.0;343.0;766.0
19300;1109.0;343.0;766.0
19400;1111.0;345.0;766.0
19500;1377.0;345.0;1032.0
19600;1149.0;345.0;804.0
19700;1301.0;345.0;956.0
19800;1191.0;349.0;842.0
19900;1115.0;349.0;766.0
20000;1419.0;349.0;1070.0
20100;1419.0;349.0;1070.0
20200;1305.0;349.0;956.0
20300;1453.0;345.0;1108.0
20400;1461.0;353.0;1108.0
20500;1347.0;353.0;994.0
20600;1385.0;353.0;1032.0
20700;1389.0;357.0;1032.0
20800;1499.0;353.0;1146.0
20900;1505.0;359.0;1146.0
21000;1383.0;351.0;1032.0
21100;1389.0;357.0;1032.0
21200;1401.0;369.0;1032.0
21300;1401.0;369.0;1032.0
21400;1385.0;353.0;1032.0
21500;1415.0;345.0;1070.0
21600;1301.0;345.0;956.0
21700;1453.0;345.0;1108.0
21800;1457.0;349.0;1108.0
21900;1341.0;347.0;994.0
22000;1459.0;351.0;1108.0
22100;1463.0;355.0;1108.0
22200;1575.0;353.0;1222.0
22300;1461.0;353.0;1108.0
22400;1465.0;357.0;1108.0
22500;1499.0;353.0;1146.0
22600;1537.0;353.0;1184.0
22700;1537.0;353.0;1184.0
22800;1645.0;347.0;1298.0
22900;1425.0;355.0;1070.0
23000;1561.0;353.0;1208.0
23100;1121.0;353.0;768.0
23200;1681.5;353.5;1328.0
23300;1578.0;370.0;1208.0
23400;1738.0;370.0;1368.0
23500;1618.0;370.0;1248.0
23600;1658.0;370.0;1288.0
23700;1653.5;365.5;1288.0
23800;1653.5;365.5;1288.0
23900;1696.5;408.5;1288.0
24000;1675.5;387.5;1288.0
24100;1686.0;398.0;1288.0
24200;1679.0;391.0;1288.0
24300;1587.0;419.0;1168.0
24400;1723.5;435.5;1288.0
24500;1867.0;419.0;1448.0
24600;1928.0;440.0;1488.0
24700;1648.0;440.0;1208.0
24800;1907.0;419.0;1488.0
24900;1808.0;440.0;1368.0
25000;1822.0;454.0;1368.0
25100;1857.0;489.0;1368.0
25200;1824.0;456.0;1368.0
25300;1824.0;456.0;1368.0
25400;1987.0;459.0;1528.0
25500;1858.0;450.0;1408.0
25600;1898.0;450.0;1448.0
25700;1738.0;450.0;1288.0
25800;1889.0;441.0;1448.0
25900;1892.0;444.0;1448.0
26000;1898.0;450.0;1448.0
26100;1892.0;444.0;1448.0
26200;1892.0;444.0;1448.0
26300;1910.0;462.0;1448.0
26400;1883.0;435.0;1448.0
26500;1929.0;441.0;1488.0
26600;1809.0;441.0;1368.0
26700;1812.0;444.0;1368.0
26800;1919.0;391.0;1528.0
26900;1940.0;412.0;1528.0
27000;1996.0;468.0;1528.0
27100;1996.0;468.0;1528.0
27200;1982.0;454.0;1528.0
27300;1961.0;433.0;1528.0
27400;1982.0;454.0;1528.0
27500;2008.0;440.0;1568.0
27600;2161.0;433.0;1728.0
27700;2062.0;454.0;1608.0
27800;2041.0;433.0;1608.0
27900;2062.0;454.0;1608.0
28000;2111.0;503.0;1608.0
28100;2191.0;463.0;1728.0
28200;2081.0;473.0;1608.0
28300;2226.0;458.0;1768.0
28400;2066.0;458.0;1608.0
28500;2226.0;458.0;1768.0
28600;2136.0;448.0;1688.0
28700;2311.0;463.0;1848.0
28800;2136.0;448.0;1688.0
28900;2256.0;448.0;1808.0
29000;2136.0;448.0;1688.0
29100;2136.0;448.0;1688.0
29200;2136.0;448.0;1688.0
29300;2136.0;448.0;1688.0
29400;2136.0;448.0;1688.0
29500;2296.0;448.0;1848.0
29600;2216.0;448.0;1768.0
29700;2211.0;443.0;1768.0
29800;2216.0;448.0;1768.0
29900;2216.0;448.0;1768.0
30000;2231.0;463.0;1768.0
30100;2216.0;448.0;1768.0
30200;2226.0;458.0;1768.0
30300;2226.0;458.0;1768.0
30400;2240.0;472.0;1768.0
30500;2400.0;472.0;1928.0
30600;2308.0;460.0;1848.0
30700;2312.0;464.0;1848.0
30800;2328.0;480.0;1848.0
30900;2332.0;484.0;1848.0
31000;2320.0;472.0;1848.0
31100;2316.0;468.0;1848.0
31200;2316.0;468.0;1848.0
31300;2316.0;468.0;1848.0
31400;2320.0;472.0;1848.0
31500;2352.0;464.0;1888.0
31600;2400.0;472.0;1928.0
31700;2528.0;480.0;2048.0
31800;2392.0;464.0;1928.0
31900;2404.0;476.0;1928.0
32000;2408.0;480.0;1928.0
32100;2280.0;472.0;1808.0
32200;2288.0;480.0;1808.0
32300;2552.0;464.0;2088.0
32400;2408.0;480.0;1928.0
32500;2888.0;480.0;2408.0
32600;2476.0;468.0;2008.0
