rank,indicator,lookback,entry,exit,target,score,total,worst_day,turnover,trades,day_1,day_2,day_3
1088,rolling_z,650,2.25,0.5,100,-31705.2,-48587.0,-19536.0,11226,337,-19536.0,-16037.0,-13014.0
1089,median_mad_z,650,2.0,0.5,100,-32621.47,-38355.0,-23021.0,5860,176,-23021.0,-4621.0,-10713.0
1090,rolling_z,500,2.5,0.5,100,-32958.37,-52511.0,-19811.0,9810,296,-19669.0,-13031.0,-19811.0
1091,rolling_z,500,3.0,0.5,150,-32966.07,-49317.0,-20624.0,6412,192,-19193.0,-9500.0,-20624.0
1092,median_mad_z,650,2.5,0.5,200,-33031.16,-38324.0,-23441.0,4578,132,-23441.0,-1873.0,-13010.0
1093,rolling_z,500,2.0,0.5,50,-33199.49,-54079.0,-19662.0,8872,345,-19647.0,-14770.0,-19662.0
1094,median_mad_z,800,2.0,0.5,200,-33336.98,-44088.0,-22297.0,8988,266,-22297.0,-1001.0,-20790.0
1095,median_mad_z,500,2.25,0.0,150,-33381.49,-51834.0,-20409.0,6994,210,-14200.0,-17225.0,-20409.0
1096,median_mad_z,500,2.5,0.5,200,-34478.92,-47186.0,-22668.0,7212,215,-22057.0,-2461.0,-22668.0
1097,median_mad_z,500,2.0,0.0,150,-35075.17,-54917.0,-21327.0,9458,280,-20797.0,-21327.0,-12793.0
1098,median_mad_z,500,2.0,0.5,100,-35335.66,-45017.0,-24067.0,7204,217,-24067.0,-7601.0,-13349.0
1099,rolling_z,1000,2.0,0.5,150,-35398.51,-52534.0,-22240.0,12505,367,-22240.0,-14329.0,-15965.0
1100,median_mad_z,650,2.25,0.0,200,-35646.45,-34735.0,-26950.0,6352,187,-26950.0,-3887.0,-3898.0
1101,ema_z,650,2.5,0.5,200,-35920.03,-50782.0,-23203.0,10766,315,-23203.0,-11594.0,-15985.0
1102,rolling_z,1000,2.25,0.5,200,-36722.95,-45293.0,-25376.0,11849,351,-25376.0,-10588.0,-9329.0
1103,median_mad_z,500,2.25,0.5,150,-36873.74,-49842.0,-24399.0,7122,210,-24399.0,-6688.0,-18755.0
1104,rolling_z,500,3.25,0.5,200,-37053.62,-56014.0,-23041.0,4560,133,-19028.0,-13945.0,-23041.0
1105,ema_z,500,2.75,0.5,200,-37396.64,-60152.0,-22338.0,10322,300,-21541.0,-16273.0,-22338.0
1106,rolling_z,650,2.5,0.5,200,-37642.23,-57638.0,-23205.0,13864,401,-23205.0,-18649.0,-15784.0
1107,rolling_z,500,2.75,0.5,150,-37669.74,-59561.0,-22760.0,9746,288,-21742.0,-15059.0,-22760.0
1108,median_mad_z,650,2.0,0.0,200,-38383.97,-36946.0,-29129.0,9234,268,-29129.0,-6457.0,-1360.0
1109,ema_z,800,2.0,0.5,150,-39037.55,-58277.0,-24439.0,14650,438,-24439.0,-16238.0,-17600.0
1110,rolling_z,800,2.25,0.5,200,-39179.98,-44166.0,-28104.0,17238,510,-28104.0,-9686.0,-6376.0
1111,ema_z,650,2.0,0.5,100,-39363.52,-61354.0,-24001.0,12010,359,-24001.0,-16628.0,-20725.0
1112,ema_z,500,2.25,0.5,100,-39498.4,-64239.0,-23416.0,11324,343,-23416.0,-18369.0,-22454.0
1113,ema_z,800,2.25,0.5,200,-39592.29,-48527.0,-27433.0,13768,403,-27433.0,-9612.0,-11482.0
1114,median_mad_z,500,2.25,0.0,200,-41653.39,-67622.0,-24730.0,8944,262,-19016.0,-24730.0,-23876.0
1115,rolling_z,500,3.0,0.5,200,-42522.38,-65003.0,-26256.0,7814,229,-25376.0,-13371.0,-26256.0
1116,ema_z,500,2.5,0.5,150,-42893.43,-69227.0,-25563.0,11838,346,-25563.0,-19987.0,-23677.0
1117,median_mad_z,650,2.25,0.5,150,-42982.71,-47355.0,-31134.0,4978,147,-31134.0,-5482.0,-10739.0
1118,rolling_z,650,2.0,0.5,100,-43116.63,-71955.0,-25100.0,13940,420,-25100.0,-22514.0,-24341.0
1119,ema_z,650,2.25,0.5,150,-43932.38,-60796.0,-28710.0,11690,344,-28710.0,-12727.0,-19359.0
1120,rolling_z,650,2.25,0.5,150,-44594.93,-68137.0,-27528.0,16342,473,-27528.0,-22776.0,-17833.0
1121,rolling_z,800,2.0,0.5,150,-45311.05,-65439.0,-28915.0,18149,534,-28915.0,-19002.0,-17522.0
1122,rolling_z,1000,2.0,0.5,200,-45641.21,-66272.0,-29041.0,16105,475,-29041.0,-18876.0,-18355.0
1123,median_mad_z,500,2.25,0.5,200,-46341.07,-63266.0,-30506.0,9284,273,-30506.0,-8533.0,-24227.0
1124,rolling_z,500,2.25,0.5,100,-47693.02,-75670.0,-28749.0,13258,399,-27609.0,-19312.0,-28749.0
1125,median_mad_z,500,2.0,0.0,200,-47710.66,-73140.0,-29402.0,11830,345,-27161.0,-29402.0,-16577.0
