rank,name,family,lookback,entry,exit,direction,target,total_pnl,day0,day1,day2,max_abs_pos,turnover,fills,time_at_limit_pct
1061,mid_z_trend,mid_z,10,1.5,0.5,1,50,-2339101.0,-727857.0,-855611.0,-755633.0,50,276078,17610,42.06
1062,ema_diff_trend,ema_diff,500,2.0,0.0,1,200,-2348489.0,1316038.0,-1696307.0,-1968220.0,200,98091,5415,88.46
1063,mid_z_trend,mid_z,10,1.5,0.25,1,100,-2352303.0,-421388.0,-1058428.0,-872487.0,100,328181,18873,35.41
1064,mid_z_revert,mid_z,20,0.75,0.25,-1,50,-2366456.0,-871734.0,-696457.0,-798265.0,50,223050,14170,69.64
1065,mid_z_trend,mid_z,10,1.25,0.25,1,150,-2373613.0,-275403.0,-1367991.0,-730219.0,150,435883,24207,30.07
1066,mid_z_revert,mid_z,20,2.0,0.25,-1,100,-2375356.0,-1234069.0,-563601.0,-577686.0,100,182151,10766,33.1
1067,mid_z_trend,mid_z,200,1.0,0.0,1,200,-2384312.0,1402074.0,-1925797.0,-1860589.0,200,66185,3649,86.52
1068,mid_z_revert,mid_z,200,1.5,0.25,-1,200,-2392188.0,-1913489.0,-231890.0,-246809.0,200,86951,4991,53.85
1069,mid_z_revert,mid_z,100,1.5,0.0,-1,200,-2392760.0,-1892885.0,-1877910.0,1378035.0,200,84049,4667,79.13
1070,mid_z_trend,mid_z,20,1.5,0.5,1,200,-2405128.0,277167.0,-1307933.0,-1374362.0,200,418181,23309,23.91
1071,mid_z_trend,mid_z,20,1.5,0.5,1,150,-2412375.0,-64411.0,-1145148.0,-1202816.0,150,367863,20603,30.67
1072,ema_diff_trend,ema_diff,500,5.0,0.0,1,200,-2413209.0,1402482.0,-1944669.0,-1871022.0,200,63495,3503,87.77
1073,mid_z_revert,mid_z,50,2.0,0.0,-1,100,-2419610.0,-834413.0,-829969.0,-755228.0,100,57241,3276,72.44
1074,mid_z_trend,mid_z,20,0.75,0.5,1,50,-2420875.0,-770307.0,-887694.0,-762874.0,50,283954,18108,61.45
1075,mid_z_revert,mid_z,20,2.0,0.5,-1,100,-2437008.0,-1097916.0,-665171.0,-673921.0,100,215811,12900,26.92
1076,momentum_revert,momentum,10,4.0,0.0,-1,100,-2447295.0,-1105710.0,-1095211.0,-246374.0,100,145304,8528,33.72
1077,mid_z_revert,mid_z,20,1.0,0.5,-1,50,-2447376.0,-942889.0,-753174.0,-751313.0,50,245727,16093,57.24
1078,mid_z_revert,mid_z,10,1.5,0.25,-1,50,-2450908.0,-899834.0,-723098.0,-827976.0,50,232002,14707,52.21
1079,ema_diff_revert,ema_diff,200,1.0,0.0,-1,150,-2452136.0,-1553780.0,-1575309.0,676953.0,150,139347,7805,86.22
1080,mid_z_revert,mid_z,100,1.0,0.0,-1,100,-2467035.0,-845517.0,-826543.0,-794975.0,100,61543,3538,88.38
1081,ema_diff_revert,ema_diff,100,5.0,0.0,-1,100,-2468324.0,-842442.0,-826464.0,-799418.0,100,62137,3598,85.65
1082,mid_z_trend,mid_z,10,1.0,0.25,1,50,-2471829.0,-778582.0,-887598.0,-805649.0,50,288740,17840,60.76
1083,ema_diff_revert,ema_diff,50,8.0,0.0,-1,200,-2484086.0,-1872495.0,-199048.0,-412543.0,200,72775,4069,65.27
1084,mid_z_revert,mid_z,10,0.75,0.0,-1,50,-2515022.0,-925945.0,-732056.0,-857021.0,50,237304,14344,75.77
1085,mid_z_revert,mid_z,200,1.5,0.5,-1,200,-2518385.0,-1953345.0,-273194.0,-291846.0,200,99599,5737,47.42
1086,mid_z_trend,mid_z,10,1.25,0.25,1,100,-2520019.0,-567948.0,-1181060.0,-771011.0,100,372706,21363,40.43
1087,mid_z_revert,mid_z,200,1.25,0.25,-1,200,-2535806.0,-1960602.0,-273974.0,-301230.0,200,103893,5945,58.9
1088,mid_z_trend,mid_z,10,1.0,0.25,1,150,-2547413.0,-500246.0,-1561953.0,-485214.0,150,499120,27694,34.13
1089,mid_z_trend,mid_z,20,1.25,0.5,1,100,-2564303.0,-435598.0,-1044567.0,-1084138.0,100,334309,19581,44.29
1090,mid_z_revert,mid_z,100,0.75,0.0,-1,100,-2578745.0,-875483.0,-861905.0,-841357.0,100,73089,4211,88.33
1091,momentum_revert,momentum,100,2.0,0.0,-1,150,-2587290.0,-1487693.0,-1480008.0,380411.0,150,113216,6369,81.51
1092,ema_diff_trend,ema_diff,500,3.0,0.0,1,200,-2593020.0,1349219.0,-2020069.0,-1922170.0,200,83015,4588,88.6
